Year,Country,Region,HappinessRank,HappinessScore,Economy(GDPperCapita),SocialSupport,Health(LifeExpectancy),Freedom,Generosity,PerceptionsofCorruption
2015,Switzerland,Western Europe,1,7.587,1.397,1.35,0.941,0.666,0.297,0.42
2015,Iceland,Western Europe,2,7.561,1.302,1.402,0.948,0.629,0.436,0.141
2015,Denmark,Western Europe,3,7.527,1.325,1.361,0.875,0.649,0.341,0.484
2015,Norway,Western Europe,4,7.522,1.459,1.331,0.885,0.67,0.347,0.365
2015,Canada,North America,5,7.427,1.326,1.323,0.906,0.633,0.458,0.33
2015,Finland,Western Europe,6,7.406,1.29,1.318,0.889,0.642,0.234,0.414
2015,Netherlands,Western Europe,7,7.378,1.329,1.28,0.893,0.616,0.476,0.318
2015,Sweden,Western Europe,8,7.364,1.332,1.289,0.911,0.66,0.363,0.438
2015,New Zealand,Australia and New Zealand,9,7.286,1.25,1.32,0.908,0.639,0.475,0.429
2015,Australia,Australia and New Zealand,10,7.284,1.334,1.309,0.932,0.651,0.436,0.356
2015,Israel,Middle East and Northern Africa,11,7.278,1.229,1.224,0.914,0.413,0.332,0.078
2015,Costa Rica,Latin America and Caribbean,12,7.226,0.956,1.238,0.86,0.634,0.255,0.106
2015,Austria,Western Europe,13,7.2,1.337,1.297,0.89,0.624,0.331,0.187
2015,Mexico,Latin America and Caribbean,14,7.187,1.021,0.915,0.814,0.482,0.141,0.213
2015,United States,North America,15,7.119,1.395,1.247,0.862,0.546,0.401,0.159
2015,Brazil,Latin America and Caribbean,16,6.983,0.981,1.233,0.697,0.49,0.146,0.175
2015,Luxembourg,Western Europe,17,6.946,1.564,1.22,0.919,0.616,0.28,0.378
2015,Ireland,Western Europe,18,6.94,1.336,1.369,0.895,0.618,0.459,0.287
2015,Belgium,Western Europe,19,6.937,1.308,1.286,0.897,0.584,0.222,0.225
2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.427,1.126,0.809,0.642,0.264,0.386
2015,United Kingdom,Western Europe,21,6.867,1.266,1.285,0.909,0.596,0.519,0.321
2015,Oman,Middle East and Northern Africa,22,6.853,1.36,1.082,0.763,0.633,0.215,0.325
2015,Venezuela,Latin America and Caribbean,23,6.81,1.044,1.256,0.721,0.429,0.058,0.111
2015,Singapore,Southeastern Asia,24,6.798,1.522,1.02,1.025,0.543,0.311,0.492
2015,Panama,Latin America and Caribbean,25,6.786,1.064,1.198,0.797,0.542,0.244,0.093
2015,Germany,Western Europe,26,6.75,1.328,1.299,0.892,0.615,0.282,0.218
2015,Chile,Latin America and Caribbean,27,6.67,1.107,1.124,0.859,0.441,0.334,0.129
2015,Qatar,Middle East and Northern Africa,28,6.611,1.69,1.079,0.797,0.64,0.326,0.522
2015,France,Western Europe,29,6.575,1.278,1.26,0.946,0.55,0.123,0.206
2015,Argentina,Latin America and Caribbean,30,6.574,1.054,1.248,0.787,0.45,0.115,0.085
2015,Czech Republic,Central and Eastern Europe,31,6.505,1.179,1.206,0.845,0.464,0.107,0.027
2015,Uruguay,Latin America and Caribbean,32,6.485,1.062,1.209,0.812,0.604,0.232,0.246
2015,Colombia,Latin America and Caribbean,33,6.477,0.919,1.24,0.691,0.535,0.184,0.051
2015,Thailand,Southeastern Asia,34,6.455,0.967,1.265,0.738,0.557,0.576,0.032
2015,Saudi Arabia,Middle East and Northern Africa,35,6.411,1.395,1.084,0.72,0.31,0.137,0.325
2015,Spain,Western Europe,36,6.329,1.23,1.314,0.956,0.46,0.182,0.064
2015,Malta,Western Europe,37,6.302,1.207,1.302,0.887,0.604,0.518,0.136
2015,Taiwan,Eastern Asia,38,6.298,1.291,1.076,0.875,0.397,0.254,0.081
2015,Kuwait,Middle East and Northern Africa,39,6.295,1.554,1.166,0.725,0.555,0.162,0.256
2015,Suriname,Latin America and Caribbean,40,6.269,0.995,0.972,0.608,0.597,0.17,0.136
2015,Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.212,1.184,0.615,0.559,0.318,0.011
2015,El Salvador,Latin America and Caribbean,42,6.13,0.765,1.025,0.677,0.404,0.107,0.118
2015,Guatemala,Latin America and Caribbean,43,6.123,0.746,1.044,0.644,0.577,0.275,0.095
2015,Uzbekistan,Central and Eastern Europe,44,6.003,0.632,1.34,0.598,0.658,0.228,0.308
2015,Slovakia,Central and Eastern Europe,45,5.995,1.169,1.27,0.789,0.318,0.169,0.034
2015,Japan,Eastern Asia,46,5.987,1.271,1.257,0.991,0.496,0.107,0.181
2015,South Korea,Eastern Asia,47,5.984,1.245,0.958,0.965,0.332,0.186,0.079
2015,Ecuador,Latin America and Caribbean,48,5.975,0.864,0.999,0.791,0.486,0.115,0.181
2015,Bahrain,Middle East and Northern Africa,49,5.96,1.324,1.216,0.747,0.455,0.174,0.306
2015,Italy,Western Europe,50,5.948,1.251,1.198,0.954,0.262,0.228,0.029
2015,Bolivia,Latin America and Caribbean,51,5.89,0.681,0.978,0.539,0.574,0.205,0.088
2015,Moldova,Central and Eastern Europe,52,5.889,0.594,1.015,0.618,0.328,0.21,0.016
2015,Paraguay,Latin America and Caribbean,53,5.878,0.76,1.305,0.661,0.539,0.342,0.082
2015,Kazakhstan,Central and Eastern Europe,54,5.855,1.123,1.122,0.644,0.516,0.118,0.085
2015,Slovenia,Central and Eastern Europe,55,5.848,1.185,1.274,0.873,0.609,0.253,0.038
2015,Lithuania,Central and Eastern Europe,56,5.833,1.147,1.257,0.731,0.213,0.026,0.01
2015,Nicaragua,Latin America and Caribbean,57,5.828,0.593,1.142,0.743,0.555,0.278,0.193
2015,Peru,Latin America and Caribbean,58,5.824,0.9,0.975,0.73,0.415,0.15,0.06
2015,Belarus,Central and Eastern Europe,59,5.813,1.032,1.233,0.736,0.379,0.11,0.191
2015,Poland,Central and Eastern Europe,60,5.791,1.126,1.279,0.779,0.531,0.168,0.042
2015,Malaysia,Southeastern Asia,61,5.77,1.125,1.07,0.724,0.53,0.331,0.105
2015,Croatia,Central and Eastern Europe,62,5.759,1.083,0.796,0.788,0.259,0.054,0.024
2015,Libya,Middle East and Northern Africa,63,5.754,1.131,1.119,0.704,0.417,0.183,0.11
2015,Russia,Central and Eastern Europe,64,5.716,1.138,1.236,0.669,0.367,0.002,0.03
2015,Jamaica,Latin America and Caribbean,65,5.709,0.81,1.151,0.687,0.504,0.212,0.023
2015,North Cyprus,Western Europe,66,5.695,1.208,1.07,0.924,0.49,0.262,0.143
2015,Cyprus,Western Europe,67,5.689,1.208,0.893,0.924,0.407,0.306,0.061
2015,Algeria,Middle East and Northern Africa,68,5.605,0.939,1.078,0.618,0.286,0.078,0.174
2015,Kosovo,Central and Eastern Europe,69,5.589,0.801,0.812,0.631,0.247,0.283,0.047
2015,Turkmenistan,Central and Eastern Europe,70,5.548,0.958,1.227,0.539,0.476,0.17,0.308
2015,Mauritius,Sub-Saharan Africa,71,5.477,1.008,0.985,0.71,0.561,0.377,0.075
2015,Hong Kong,Eastern Asia,72,5.474,1.386,1.058,1.013,0.596,0.395,0.371
2015,Estonia,Central and Eastern Europe,73,5.429,1.152,1.228,0.774,0.449,0.087,0.152
2015,Indonesia,Southeastern Asia,74,5.399,0.828,1.087,0.638,0.466,0.515,0
2015,Vietnam,Southeastern Asia,75,5.36,0.632,0.912,0.747,0.594,0.169,0.104
2015,Turkey,Middle East and Northern Africa,76,5.332,1.061,0.946,0.732,0.228,0.123,0.157
2015,Kyrgyzstan,Central and Eastern Europe,77,5.286,0.474,1.151,0.651,0.435,0.3,0.042
2015,Nigeria,Sub-Saharan Africa,78,5.268,0.654,0.904,0.16,0.343,0.272,0.04
2015,Bhutan,Southern Asia,79,5.253,0.77,1.104,0.574,0.532,0.48,0.154
2015,Azerbaijan,Central and Eastern Europe,80,5.212,1.024,0.938,0.64,0.37,0.078,0.161
2015,Pakistan,Southern Asia,81,5.194,0.595,0.414,0.515,0.121,0.337,0.105
2015,Jordan,Middle East and Northern Africa,82,5.192,0.902,1.054,0.696,0.407,0.111,0.143
2015,Montenegro,Central and Eastern Europe,82,5.192,0.974,0.906,0.725,0.183,0.161,0.143
2015,China,Eastern Asia,84,5.14,0.89,0.947,0.817,0.517,0.082,0.028
2015,Zambia,Sub-Saharan Africa,85,5.129,0.47,0.916,0.299,0.488,0.196,0.125
2015,Romania,Central and Eastern Europe,86,5.124,1.043,0.886,0.769,0.351,0.137,0.006
2015,Serbia,Central and Eastern Europe,87,5.123,0.921,1.01,0.748,0.201,0.192,0.026
2015,Portugal,Western Europe,88,5.102,1.16,1.139,0.875,0.515,0.137,0.011
2015,Latvia,Central and Eastern Europe,89,5.098,1.113,1.096,0.724,0.297,0.182,0.063
2015,Philippines,Southeastern Asia,90,5.073,0.705,1.035,0.581,0.625,0.25,0.123
2015,Somaliland region,Sub-Saharan Africa,91,5.057,0.188,0.952,0.439,0.466,0.503,0.399
2015,Morocco,Middle East and Northern Africa,92,5.013,0.735,0.641,0.61,0.417,0.072,0.085
2015,North Macedonia,Central and Eastern Europe,93,5.007,0.919,1.002,0.735,0.335,0.224,0.053
2015,Mozambique,Sub-Saharan Africa,94,4.971,0.083,1.026,0.091,0.34,0.223,0.156
2015,Albania,Central and Eastern Europe,95,4.959,0.879,0.804,0.813,0.357,0.143,0.064
2015,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.832,0.919,0.791,0.092,0.248,0.002
2015,Lesotho,Sub-Saharan Africa,97,4.898,0.375,1.041,0.076,0.318,0.164,0.125
2015,Dominican Republic,Latin America and Caribbean,98,4.885,0.895,1.172,0.668,0.577,0.217,0.142
2015,Laos,Southeastern Asia,99,4.876,0.591,0.738,0.549,0.596,0.422,0.242
2015,Mongolia,Eastern Asia,100,4.874,0.828,1.301,0.603,0.436,0.332,0.027
2015,Swaziland,Sub-Saharan Africa,101,4.867,0.712,1.073,0.076,0.307,0.183,0.031
2015,Greece,Western Europe,102,4.857,1.154,0.929,0.882,0.077,0,0.014
2015,Lebanon,Middle East and Northern Africa,103,4.839,1.026,0.8,0.839,0.339,0.219,0.046
2015,Hungary,Central and Eastern Europe,104,4.8,1.121,1.202,0.759,0.321,0.128,0.028
2015,Honduras,Latin America and Caribbean,105,4.788,0.595,0.953,0.695,0.401,0.23,0.068
2015,Tajikistan,Central and Eastern Europe,106,4.786,0.39,0.856,0.574,0.472,0.23,0.151
2015,Tunisia,Middle East and Northern Africa,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064
2015,Palestinian Territories,Middle East and Northern Africa,108,4.715,0.599,0.926,0.66,0.245,0.113,0.129
2015,Bangladesh,Southern Asia,109,4.694,0.398,0.431,0.602,0.408,0.212,0.126
2015,Iran,Middle East and Northern Africa,110,4.686,1.009,0.544,0.698,0.3,0.381,0.059
2015,Ukraine,Central and Eastern Europe,111,4.681,0.799,1.203,0.674,0.251,0.153,0.03
2015,Iraq,Middle East and Northern Africa,112,4.677,0.985,0.819,0.602,0,0.179,0.138
2015,South Africa,Sub-Saharan Africa,113,4.642,0.92,1.185,0.277,0.332,0.12,0.089
2015,Ghana,Sub-Saharan Africa,114,4.633,0.546,0.68,0.401,0.423,0.231,0.044
2015,Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.033,0.335,0.259,0.19,0.081
2015,Liberia,Sub-Saharan Africa,116,4.571,0.071,0.79,0.342,0.285,0.244,0.062
2015,India,Southern Asia,117,4.565,0.645,0.382,0.515,0.398,0.265,0.085
2015,Sudan,Sub-Saharan Africa,118,4.55,0.521,1.014,0.369,0.101,0.191,0.147
2015,Haiti,Latin America and Caribbean,119,4.518,0.267,0.743,0.388,0.244,0.462,0.172
2015,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0,1.001,0.098,0.226,0.248,0.076
2015,Nepal,Southern Asia,121,4.514,0.36,0.864,0.569,0.383,0.323,0.059
2015,Ethiopia,Sub-Saharan Africa,122,4.512,0.191,0.604,0.441,0.434,0.243,0.15
2015,Sierra Leone,Sub-Saharan Africa,123,4.507,0.33,0.956,0,0.408,0.215,0.088
2015,Mauritania,Sub-Saharan Africa,124,4.436,0.454,0.869,0.359,0.242,0.219,0.175
2015,Kenya,Sub-Saharan Africa,125,4.419,0.365,0.999,0.414,0.422,0.375,0.058
2015,Djibouti,Sub-Saharan Africa,126,4.369,0.44,0.592,0.363,0.461,0.181,0.281
2015,Armenia,Central and Eastern Europe,127,4.35,0.768,0.777,0.73,0.198,0.079,0.039
2015,Botswana,Sub-Saharan Africa,128,4.332,0.994,1.105,0.048,0.495,0.105,0.125
2015,Myanmar,Southeastern Asia,129,4.307,0.271,0.709,0.482,0.44,0.796,0.19
2015,Georgia,Central and Eastern Europe,130,4.297,0.742,0.386,0.729,0.406,0.055,0.383
2015,Malawi,Sub-Saharan Africa,131,4.292,0.016,0.411,0.226,0.431,0.331,0.07
2015,Sri Lanka,Southern Asia,132,4.271,0.835,1.019,0.708,0.537,0.408,0.092
2015,Cameroon,Sub-Saharan Africa,133,4.252,0.422,0.888,0.234,0.493,0.206,0.058
2015,Bulgaria,Central and Eastern Europe,134,4.218,1.012,1.106,0.766,0.306,0.119,0.009
2015,Egypt,Middle East and Northern Africa,135,4.194,0.882,0.747,0.617,0.173,0.113,0.063
2015,Yemen,Middle East and Northern Africa,136,4.077,0.546,0.681,0.401,0.356,0.091,0.079
2015,Angola,Sub-Saharan Africa,137,4.033,0.758,0.86,0.167,0.104,0.123,0.071
2015,Mali,Sub-Saharan Africa,138,3.995,0.261,1.035,0.206,0.389,0.188,0.124
2015,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.679,0.663,0.311,0.415,0.124,0.117
2015,Comoros,Sub-Saharan Africa,140,3.956,0.239,0.793,0.363,0.229,0.174,0.199
2015,Uganda,Sub-Saharan Africa,141,3.931,0.211,1.133,0.339,0.457,0.291,0.073
2015,Senegal,Sub-Saharan Africa,142,3.904,0.365,0.976,0.435,0.368,0.208,0.107
2015,Gabon,Sub-Saharan Africa,143,3.896,1.06,0.905,0.434,0.319,0.068,0.111
2015,Niger,Sub-Saharan Africa,144,3.845,0.069,0.773,0.297,0.477,0.194,0.156
2015,Cambodia,Southeastern Asia,145,3.819,0.46,0.627,0.611,0.662,0.404,0.072
2015,Tanzania,Sub-Saharan Africa,146,3.781,0.285,1.003,0.382,0.329,0.344,0.057
2015,Madagascar,Sub-Saharan Africa,147,3.681,0.208,0.668,0.467,0.192,0.213,0.081
2015,Central African Republic,Sub-Saharan Africa,148,3.678,0.078,0,0.067,0.489,0.238,0.083
2015,Chad,Sub-Saharan Africa,149,3.667,0.342,0.761,0.15,0.235,0.184,0.053
2015,Guinea,Sub-Saharan Africa,150,3.656,0.174,0.465,0.24,0.377,0.287,0.121
2015,Ivory Coast,Sub-Saharan Africa,151,3.655,0.465,0.771,0.152,0.469,0.202,0.179
2015,Burkina Faso,Sub-Saharan Africa,152,3.587,0.258,0.852,0.271,0.395,0.217,0.128
2015,Afghanistan,Southern Asia,153,3.575,0.32,0.303,0.303,0.234,0.365,0.097
2015,Rwanda,Sub-Saharan Africa,154,3.465,0.222,0.774,0.429,0.592,0.226,0.552
2015,Benin,Sub-Saharan Africa,155,3.34,0.287,0.354,0.319,0.484,0.183,0.08
2015,Syria,Middle East and Northern Africa,156,3.006,0.663,0.475,0.722,0.157,0.472,0.189
2015,Burundi,Sub-Saharan Africa,157,2.905,0.015,0.416,0.224,0.118,0.197,0.101
2015,Togo,Sub-Saharan Africa,158,2.839,0.209,0.14,0.284,0.365,0.167,0.107
2016,Denmark,Western Europe,1,7.526,1.442,1.164,0.795,0.579,0.362,0.445
2016,Switzerland,Western Europe,2,7.509,1.527,1.145,0.863,0.586,0.281,0.412
2016,Iceland,Western Europe,3,7.501,1.427,1.183,0.867,0.566,0.477,0.15
2016,Norway,Western Europe,4,7.498,1.577,1.127,0.796,0.596,0.379,0.358
2016,Finland,Western Europe,5,7.413,1.406,1.135,0.811,0.571,0.255,0.41
2016,Canada,North America,6,7.404,1.44,1.096,0.828,0.574,0.448,0.313
2016,Netherlands,Western Europe,7,7.339,1.465,1.029,0.812,0.552,0.474,0.299
2016,New Zealand,Australia and New Zealand,8,7.334,1.361,1.173,0.831,0.581,0.494,0.419
2016,Australia,Australia and New Zealand,9,7.313,1.444,1.105,0.851,0.568,0.474,0.323
2016,Sweden,Western Europe,10,7.291,1.452,1.088,0.831,0.582,0.383,0.409
2016,Israel,Middle East and Northern Africa,11,7.267,1.338,0.995,0.849,0.364,0.323,0.087
2016,Austria,Western Europe,12,7.119,1.45,1.084,0.806,0.544,0.329,0.213
2016,United States,North America,13,7.104,1.508,1.048,0.779,0.482,0.411,0.149
2016,Costa Rica,Latin America and Caribbean,14,7.087,1.069,1.022,0.761,0.552,0.226,0.105
2016,Puerto Rico,Latin America and Caribbean,15,7.039,1.359,1.081,0.778,0.468,0.222,0.123
2016,Germany,Western Europe,16,6.994,1.448,1.098,0.815,0.535,0.305,0.286
2016,Brazil,Latin America and Caribbean,17,6.952,1.088,1.039,0.614,0.404,0.158,0.142
2016,Belgium,Western Europe,18,6.929,1.425,1.052,0.82,0.514,0.242,0.262
2016,Ireland,Western Europe,19,6.907,1.483,1.162,0.815,0.54,0.45,0.298
2016,Luxembourg,Western Europe,20,6.871,1.698,1.04,0.845,0.549,0.276,0.353
2016,Mexico,Latin America and Caribbean,21,6.778,1.115,0.715,0.711,0.377,0.117,0.184
2016,Singapore,Southeastern Asia,22,6.739,1.646,0.868,0.947,0.488,0.327,0.47
2016,United Kingdom,Western Europe,23,6.725,1.403,1.087,0.81,0.5,0.502,0.274
2016,Chile,Latin America and Caribbean,24,6.705,1.217,0.906,0.819,0.378,0.316,0.115
2016,Panama,Latin America and Caribbean,25,6.701,1.183,0.989,0.708,0.489,0.242,0.084
2016,Argentina,Latin America and Caribbean,26,6.65,1.151,1.066,0.697,0.423,0.11,0.073
2016,Czech Republic,Central and Eastern Europe,27,6.596,1.309,1.008,0.764,0.414,0.099,0.04
2016,United Arab Emirates,Middle East and Northern Africa,28,6.573,1.574,0.871,0.73,0.562,0.266,0.356
2016,Uruguay,Latin America and Caribbean,29,6.545,1.182,1.031,0.722,0.544,0.181,0.214
2016,Malta,Western Europe,30,6.488,1.308,1.099,0.803,0.55,0.562,0.176
2016,Colombia,Latin America and Caribbean,31,6.481,1.03,1.022,0.597,0.447,0.156,0.054
2016,France,Western Europe,32,6.478,1.395,1.005,0.838,0.466,0.122,0.178
2016,Thailand,Southeastern Asia,33,6.474,1.089,1.045,0.649,0.496,0.587,0.028
2016,Saudi Arabia,Middle East and Northern Africa,34,6.379,1.49,0.848,0.593,0.379,0.155,0.3
2016,Taiwan,Eastern Asia,34,6.379,1.397,0.926,0.796,0.324,0.255,0.066
2016,Qatar,Middle East and Northern Africa,36,6.375,1.824,0.88,0.717,0.567,0.324,0.48
2016,Spain,Western Europe,37,6.361,1.343,1.129,0.879,0.375,0.177,0.061
2016,Algeria,Middle East and Northern Africa,38,6.355,1.053,0.833,0.618,0.21,0.07,0.162
2016,Guatemala,Latin America and Caribbean,39,6.324,0.835,0.871,0.54,0.504,0.288,0.087
2016,Suriname,Latin America and Caribbean,40,6.269,1.097,0.779,0.509,0.522,0.167,0.127
2016,Kuwait,Middle East and Northern Africa,41,6.239,1.617,0.878,0.636,0.432,0.16,0.237
2016,Bahrain,Middle East and Northern Africa,42,6.218,1.44,0.944,0.657,0.474,0.171,0.258
2016,Trinidad and Tobago,Latin America and Caribbean,43,6.168,1.326,0.986,0.526,0.485,0.319,0.012
2016,Venezuela,Latin America and Caribbean,44,6.084,1.134,1.033,0.619,0.198,0.042,0.083
2016,Slovakia,Central and Eastern Europe,45,6.078,1.28,1.083,0.704,0.234,0.138,0.029
2016,El Salvador,Latin America and Caribbean,46,6.068,0.874,0.81,0.596,0.373,0.089,0.106
2016,Malaysia,Southeastern Asia,47,6.005,1.251,0.88,0.624,0.39,0.415,0.091
2016,Nicaragua,Latin America and Caribbean,48,5.992,0.694,0.895,0.652,0.466,0.298,0.163
2016,Uzbekistan,Central and Eastern Europe,49,5.987,0.736,1.168,0.502,0.608,0.343,0.283
2016,Italy,Western Europe,50,5.977,1.355,1.042,0.851,0.188,0.167,0.026
2016,Ecuador,Latin America and Caribbean,51,5.976,0.973,0.86,0.686,0.403,0.101,0.18
2016,Belize,Latin America and Caribbean,52,5.956,0.876,0.687,0.456,0.512,0.237,0.108
2016,Japan,Eastern Asia,53,5.921,1.38,1.061,0.915,0.468,0.102,0.19
2016,Kazakhstan,Central and Eastern Europe,54,5.919,1.229,0.955,0.574,0.405,0.15,0.111
2016,Moldova,Central and Eastern Europe,55,5.897,0.692,0.831,0.523,0.252,0.2,0.019
2016,Russia,Central and Eastern Europe,56,5.856,1.232,1.053,0.59,0.327,0.027,0.036
2016,Poland,Central and Eastern Europe,57,5.835,1.246,1.047,0.691,0.452,0.144,0.055
2016,South Korea,Eastern Asia,57,5.835,1.359,0.722,0.886,0.252,0.188,0.077
2016,Bolivia,Latin America and Caribbean,59,5.822,0.794,0.838,0.47,0.51,0.217,0.077
2016,Lithuania,Central and Eastern Europe,60,5.813,1.269,1.064,0.647,0.189,0.02,0.018
2016,Belarus,Central and Eastern Europe,61,5.802,1.131,1.05,0.631,0.291,0.139,0.175
2016,North Cyprus,Western Europe,62,5.771,1.311,0.818,0.841,0.436,0.263,0.166
2016,Slovenia,Central and Eastern Europe,63,5.768,1.299,1.056,0.792,0.532,0.257,0.036
2016,Peru,Latin America and Caribbean,64,5.743,0.996,0.813,0.63,0.375,0.145,0.053
2016,Turkmenistan,Central and Eastern Europe,65,5.658,1.08,1.038,0.44,0.374,0.226,0.285
2016,Mauritius,Sub-Saharan Africa,66,5.648,1.144,0.757,0.662,0.461,0.37,0.052
2016,Libya,Middle East and Northern Africa,67,5.615,1.067,0.951,0.523,0.407,0.171,0.103
2016,Latvia,Central and Eastern Europe,68,5.56,1.218,0.95,0.64,0.28,0.174,0.089
2016,Cyprus,Western Europe,69,5.546,1.319,0.707,0.849,0.295,0.279,0.052
2016,Paraguay,Latin America and Caribbean,70,5.538,0.894,1.111,0.583,0.462,0.253,0.074
2016,Romania,Central and Eastern Europe,71,5.528,1.17,0.728,0.676,0.367,0.129,0.007
2016,Estonia,Central and Eastern Europe,72,5.517,1.28,1.052,0.681,0.415,0.084,0.185
2016,Jamaica,Latin America and Caribbean,73,5.51,0.893,0.964,0.595,0.436,0.222,0.043
2016,Croatia,Central and Eastern Europe,74,5.488,1.186,0.608,0.705,0.239,0.184,0.04
2016,Hong Kong,Eastern Asia,75,5.458,1.511,0.87,0.953,0.481,0.401,0.316
2016,Somalia,Sub-Saharan Africa,76,5.44,0,0.336,0.115,0.568,0.272,0.312
2016,Kosovo,Central and Eastern Europe,77,5.401,0.901,0.661,0.54,0.144,0.28,0.065
2016,Turkey,Middle East and Northern Africa,78,5.389,1.165,0.877,0.647,0.239,0.047,0.123
2016,Indonesia,Southeastern Asia,79,5.314,0.951,0.876,0.494,0.392,0.565,0.003
2016,Jordan,Middle East and Northern Africa,80,5.303,0.997,0.862,0.607,0.36,0.143,0.133
2016,Azerbaijan,Central and Eastern Europe,81,5.291,1.124,0.76,0.545,0.353,0.056,0.179
2016,Philippines,Southeastern Asia,82,5.279,0.812,0.879,0.47,0.549,0.217,0.118
2016,China,Eastern Asia,83,5.245,1.028,0.794,0.736,0.44,0.05,0.027
2016,Bhutan,Southern Asia,84,5.196,0.853,0.908,0.498,0.461,0.485,0.162
2016,Kyrgyzstan,Central and Eastern Europe,85,5.185,0.56,0.954,0.554,0.402,0.384,0.048
2016,Serbia,Central and Eastern Europe,86,5.177,1.034,0.813,0.646,0.157,0.207,0.043
2016,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.934,0.644,0.708,0.095,0.299,0
2016,Montenegro,Central and Eastern Europe,88,5.161,1.078,0.742,0.635,0.151,0.172,0.127
2016,Dominican Republic,Latin America and Caribbean,89,5.155,1.028,0.995,0.577,0.523,0.213,0.124
2016,Morocco,Middle East and Northern Africa,90,5.151,0.841,0.386,0.595,0.256,0.041,0.084
2016,Hungary,Central and Eastern Europe,91,5.145,1.241,0.932,0.676,0.198,0.099,0.045
2016,Pakistan,Southern Asia,92,5.132,0.688,0.261,0.403,0.146,0.312,0.139
2016,Lebanon,Middle East and Northern Africa,93,5.129,1.123,0.642,0.762,0.262,0.237,0.031
2016,Portugal,Western Europe,94,5.123,1.276,0.944,0.794,0.447,0.117,0.015
2016,North Macedonia,Central and Eastern Europe,95,5.121,1.019,0.782,0.647,0.277,0.235,0.07
2016,Vietnam,Southeastern Asia,96,5.061,0.74,0.791,0.662,0.56,0.251,0.116
2016,Somaliland Region,Sub-Saharan Africa,97,5.057,0.256,0.759,0.331,0.391,0.515,0.368
2016,Tunisia,Middle East and Northern Africa,98,5.045,0.977,0.432,0.596,0.236,0.039,0.082
2016,Greece,Western Europe,99,5.033,1.249,0.755,0.8,0.058,0,0.041
2016,Tajikistan,Central and Eastern Europe,100,4.996,0.488,0.756,0.531,0.434,0.26,0.135
