Year,Country,Region,HappinessRank,HappinessScore,Economy(GDPperCapita),SocialSupport,Health(LifeExpectancy),Freedom,Generosity,PerceptionsofCorruption
2016,Mongolia,Eastern Asia,101,4.907,0.989,1.09,0.555,0.36,0.345,0.033
2016,Laos,Southeastern Asia,102,4.876,0.68,0.55,0.383,0.522,0.431,0.224
2016,Nigeria,Sub-Saharan Africa,103,4.875,0.752,0.645,0.051,0.279,0.232,0.03
2016,Honduras,Latin America and Caribbean,104,4.871,0.694,0.756,0.584,0.268,0.204,0.069
2016,Iran,Middle East and Northern Africa,105,4.813,1.118,0.389,0.642,0.225,0.385,0.056
2016,Zambia,Sub-Saharan Africa,106,4.795,0.612,0.638,0.236,0.427,0.179,0.115
2016,Nepal,Southern Asia,107,4.793,0.446,0.697,0.501,0.37,0.382,0.07
2016,Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67,0.716,0.568,0.177,0.112,0.106
2016,Albania,Central and Eastern Europe,109,4.655,0.955,0.502,0.73,0.319,0.168,0.053
2016,Bangladesh,Southern Asia,110,4.643,0.542,0.247,0.53,0.398,0.191,0.126
2016,Sierra Leone,Sub-Saharan Africa,111,4.635,0.365,0.628,0,0.307,0.239,0.082
2016,Iraq,Middle East and Northern Africa,112,4.575,1.075,0.592,0.511,0.249,0.196,0.136
2016,Namibia,Sub-Saharan Africa,113,4.574,0.933,0.704,0.347,0.486,0.078,0.104
2016,Cameroon,Sub-Saharan Africa,114,4.513,0.525,0.625,0.127,0.427,0.227,0.061
2016,Ethiopia,Sub-Saharan Africa,115,4.508,0.293,0.379,0.346,0.367,0.295,0.172
2016,South Africa,Sub-Saharan Africa,116,4.459,1.024,0.961,0.186,0.425,0.137,0.084
2016,Sri Lanka,Southern Asia,117,4.415,0.973,0.848,0.62,0.508,0.47,0.08
2016,India,Southern Asia,118,4.404,0.74,0.292,0.451,0.403,0.25,0.087
2016,Myanmar,Southeastern Asia,119,4.395,0.341,0.7,0.399,0.427,0.82,0.202
2016,Egypt,Middle East and Northern Africa,120,4.362,0.954,0.498,0.521,0.188,0.127,0.104
2016,Armenia,Central and Eastern Europe,121,4.36,0.861,0.625,0.641,0.14,0.078,0.036
2016,Kenya,Sub-Saharan Africa,122,4.356,0.523,0.762,0.301,0.406,0.413,0.067
2016,Ukraine,Central and Eastern Europe,123,4.324,0.873,1.014,0.586,0.129,0.204,0.018
2016,Ghana,Sub-Saharan Africa,124,4.276,0.631,0.494,0.297,0.41,0.212,0.033
2016,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,0.057,0.807,0.188,0.156,0.255,0.061
2016,Georgia,Central and Eastern Europe,126,4.252,0.838,0.192,0.64,0.325,0.068,0.319
2016,Congo (Brazzaville),Sub-Saharan Africa,127,4.236,0.771,0.478,0.282,0.379,0.121,0.098
2016,Senegal,Sub-Saharan Africa,128,4.219,0.443,0.774,0.405,0.311,0.191,0.117
2016,Bulgaria,Central and Eastern Europe,129,4.217,1.113,0.925,0.678,0.212,0.128,0.006
2016,Mauritania,Sub-Saharan Africa,130,4.201,0.614,0.841,0.286,0.127,0.227,0.18
2016,Zimbabwe,Sub-Saharan Africa,131,4.193,0.35,0.715,0.16,0.254,0.185,0.086
2016,Malawi,Sub-Saharan Africa,132,4.156,0.087,0.147,0.294,0.414,0.31,0.076
2016,Sudan,Sub-Saharan Africa,133,4.139,0.631,0.819,0.298,0,0.181,0.1
2016,Gabon,Sub-Saharan Africa,134,4.121,1.159,0.724,0.349,0.281,0.062,0.093
2016,Mali,Sub-Saharan Africa,135,4.073,0.313,0.863,0.163,0.275,0.211,0.136
2016,Haiti,Latin America and Caribbean,136,4.028,0.341,0.296,0.275,0.121,0.48,0.145
2016,Botswana,Sub-Saharan Africa,137,3.974,1.094,0.892,0.348,0.441,0.124,0.108
2016,Comoros,Sub-Saharan Africa,138,3.956,0.275,0.603,0.3,0.154,0.183,0.184
2016,Ivory Coast,Sub-Saharan Africa,139,3.916,0.555,0.576,0.045,0.407,0.203,0.155
2016,Cambodia,Southeastern Asia,140,3.907,0.556,0.538,0.425,0.589,0.403,0.081
2016,Angola,Sub-Saharan Africa,141,3.866,0.847,0.664,0.05,0.006,0.121,0.084
2016,Niger,Sub-Saharan Africa,142,3.856,0.133,0.605,0.262,0.38,0.21,0.172
2016,South Sudan,Sub-Saharan Africa,143,3.832,0.394,0.185,0.158,0.197,0.259,0.13
2016,Chad,Sub-Saharan Africa,144,3.763,0.422,0.632,0.038,0.128,0.187,0.05
2016,Burkina Faso,Sub-Saharan Africa,145,3.739,0.32,0.631,0.213,0.334,0.244,0.125
2016,Uganda,Sub-Saharan Africa,145,3.739,0.347,0.91,0.196,0.437,0.271,0.064
2016,Yemen,Middle East and Northern Africa,147,3.724,0.579,0.475,0.31,0.229,0.098,0.059
2016,Madagascar,Sub-Saharan Africa,148,3.695,0.28,0.461,0.371,0.137,0.22,0.075
2016,Tanzania,Sub-Saharan Africa,149,3.666,0.472,0.776,0.357,0.318,0.315,0.051
2016,Liberia,Sub-Saharan Africa,150,3.622,0.107,0.504,0.232,0.257,0.241,0.049
2016,Guinea,Sub-Saharan Africa,151,3.607,0.224,0.311,0.188,0.31,0.299,0.119
2016,Rwanda,Sub-Saharan Africa,152,3.515,0.328,0.616,0.319,0.543,0.236,0.505
2016,Benin,Sub-Saharan Africa,153,3.484,0.395,0.104,0.21,0.397,0.202,0.067
2016,Afghanistan,Southern Asia,154,3.36,0.382,0.11,0.173,0.164,0.313,0.071
2016,Togo,Sub-Saharan Africa,155,3.303,0.281,0,0.248,0.347,0.175,0.116
2016,Syria,Middle East and Northern Africa,156,3.069,0.747,0.149,0.63,0.069,0.484,0.172
2016,Burundi,Sub-Saharan Africa,157,2.905,0.068,0.234,0.157,0.043,0.203,0.094
2017,Afghanistan,Southern Asia,141,3.794,0.401,0.582,0.181,0.106,0.312,0.061
2017,Albania,Central and Eastern Europe,109,4.644,0.996,0.804,0.731,0.381,0.201,0.04
2017,Algeria,Middle East and Northern Africa,53,5.872,1.092,1.146,0.618,0.233,0.069,0.146
2017,Angola,Sub-Saharan Africa,140,3.795,0.858,1.104,0.05,0,0.098,0.07
2017,Argentina,Latin America and Caribbean,24,6.599,1.185,1.44,0.695,0.495,0.109,0.06
2017,Armenia,Central and Eastern Europe,121,4.376,0.901,1.007,0.638,0.198,0.083,0.027
2017,Australia,Australia and New Zealand,10,7.284,1.484,1.51,0.844,0.602,0.478,0.301
2017,Austria,Western Europe,13,7.006,1.487,1.46,0.815,0.568,0.316,0.221
2017,Azerbaijan,Central and Eastern Europe,85,5.234,1.154,1.152,0.541,0.398,0.045,0.181
2017,Bahrain,Middle East and Northern Africa,41,6.087,1.488,1.323,0.653,0.537,0.173,0.257
2017,Bangladesh,Southern Asia,110,4.608,0.587,0.735,0.533,0.478,0.172,0.124
2017,Belarus,Central and Eastern Europe,67,5.569,1.157,1.445,0.638,0.295,0.155,0.156
2017,Belgium,Western Europe,17,6.891,1.464,1.462,0.818,0.54,0.232,0.251
2017,Belize,Latin America and Caribbean,50,5.956,0.908,1.081,0.45,0.548,0.24,0.097
2017,Benin,Sub-Saharan Africa,143,3.657,0.431,0.435,0.21,0.426,0.208,0.061
2017,Bhutan,Southern Asia,97,5.011,0.885,1.34,0.496,0.502,0.474,0.173
2017,Bolivia,Latin America and Caribbean,58,5.823,0.834,1.228,0.474,0.559,0.226,0.06
2017,Bosnia and Herzegovina,Central and Eastern Europe,90,5.182,0.982,1.069,0.705,0.204,0.329,0
2017,Botswana,Sub-Saharan Africa,142,3.766,1.122,1.222,0.342,0.505,0.099,0.099
2017,Brazil,Latin America and Caribbean,22,6.635,1.107,1.431,0.617,0.437,0.162,0.111
2017,Bulgaria,Central and Eastern Europe,105,4.714,1.161,1.434,0.708,0.289,0.113,0.011
2017,Burkina Faso,Sub-Saharan Africa,134,4.032,0.35,1.043,0.216,0.324,0.251,0.12
2017,Burundi,Sub-Saharan Africa,154,2.905,0.092,0.63,0.152,0.06,0.204,0.084
2017,Cambodia,Southeastern Asia,129,4.168,0.602,1.006,0.43,0.633,0.386,0.068
2017,Cameroon,Sub-Saharan Africa,107,4.695,0.564,0.946,0.133,0.43,0.236,0.051
2017,Canada,North America,7,7.316,1.479,1.481,0.835,0.611,0.436,0.287
2017,Central African Republic,Sub-Saharan Africa,155,2.693,0,0,0.019,0.271,0.281,0.057
2017,Chad,Sub-Saharan Africa,137,3.936,0.438,0.954,0.041,0.162,0.216,0.054
2017,Chile,Latin America and Caribbean,20,6.652,1.253,1.284,0.819,0.377,0.327,0.082
2017,China,Eastern Asia,79,5.273,1.081,1.161,0.741,0.473,0.029,0.023
2017,Colombia,Latin America and Caribbean,36,6.357,1.071,1.402,0.595,0.477,0.149,0.047
2017,Congo (Brazzaville),Sub-Saharan Africa,124,4.291,0.809,0.832,0.29,0.435,0.121,0.08
2017,Congo (Kinshasa),Sub-Saharan Africa,126,4.28,0.092,1.229,0.191,0.236,0.246,0.06
2017,Costa Rica,Latin America and Caribbean,12,7.079,1.11,1.416,0.76,0.58,0.215,0.1
2017,Croatia,Central and Eastern Europe,77,5.293,1.223,0.968,0.701,0.256,0.248,0.043
2017,Cyprus,Western Europe,65,5.621,1.356,1.131,0.845,0.355,0.271,0.041
2017,Czech Republic,Central and Eastern Europe,23,6.609,1.353,1.434,0.754,0.491,0.088,0.037
2017,Denmark,Western Europe,2,7.522,1.482,1.551,0.793,0.626,0.355,0.401
2017,Dominican Republic,Latin America and Caribbean,86,5.23,1.079,1.402,0.575,0.553,0.187,0.114
2017,Ecuador,Latin America and Caribbean,44,6.008,1.001,1.286,0.686,0.455,0.15,0.14
2017,Egypt,Middle East and Northern Africa,104,4.735,0.99,0.997,0.52,0.282,0.129,0.114
2017,El Salvador,Latin America and Caribbean,45,6.003,0.91,1.182,0.596,0.432,0.078,0.09
2017,Estonia,Central and Eastern Europe,66,5.611,1.321,1.477,0.695,0.479,0.099,0.183
2017,Ethiopia,Sub-Saharan Africa,119,4.46,0.339,0.865,0.353,0.409,0.313,0.165
2017,Finland,Western Europe,5,7.469,1.444,1.54,0.809,0.618,0.245,0.383
2017,France,Western Europe,31,6.442,1.431,1.388,0.844,0.47,0.13,0.173
2017,Gabon,Sub-Saharan Africa,118,4.465,1.198,1.156,0.357,0.312,0.044,0.076
2017,Georgia,Central and Eastern Europe,125,4.286,0.951,0.571,0.65,0.309,0.054,0.252
2017,Germany,Western Europe,16,6.951,1.488,1.473,0.799,0.563,0.336,0.277
2017,Ghana,Sub-Saharan Africa,131,4.12,0.667,0.874,0.296,0.423,0.257,0.025
2017,Greece,Western Europe,87,5.227,1.289,1.239,0.81,0.096,0,0.043
2017,Guatemala,Latin America and Caribbean,29,6.454,0.872,1.256,0.54,0.531,0.283,0.077
2017,Guinea,Sub-Saharan Africa,149,3.507,0.245,0.791,0.194,0.349,0.265,0.111
2017,Haiti,Latin America and Caribbean,145,3.603,0.369,0.64,0.277,0.03,0.489,0.1
2017,Honduras,Latin America and Caribbean,91,5.181,0.731,1.144,0.583,0.348,0.236,0.073
2017,Hong Kong,Eastern Asia,71,5.472,1.552,1.263,0.943,0.491,0.374,0.294
2017,Hungary,Central and Eastern Europe,75,5.324,1.286,1.343,0.688,0.176,0.078,0.037
2017,Iceland,Western Europe,3,7.504,1.481,1.611,0.834,0.627,0.476,0.154
2017,India,Southern Asia,122,4.315,0.792,0.754,0.455,0.47,0.232,0.092
2017,Indonesia,Southeastern Asia,81,5.262,0.996,1.274,0.492,0.443,0.612,0.015
2017,Iran,Middle East and Northern Africa,108,4.692,1.157,0.712,0.639,0.249,0.387,0.049
2017,Iraq,Middle East and Northern Africa,117,4.497,1.103,0.979,0.501,0.289,0.2,0.107
2017,Ireland,Western Europe,15,6.977,1.536,1.558,0.81,0.573,0.428,0.298
2017,Israel,Middle East and Northern Africa,11,7.213,1.375,1.376,0.838,0.406,0.33,0.085
2017,Italy,Western Europe,48,5.964,1.395,1.445,0.853,0.256,0.173,0.028
2017,Ivory Coast,Sub-Saharan Africa,128,4.18,0.603,0.905,0.049,0.448,0.201,0.13
2017,Jamaica,Latin America and Caribbean,76,5.311,0.926,1.368,0.641,0.474,0.234,0.055
2017,Japan,Eastern Asia,51,5.92,1.417,1.436,0.913,0.506,0.121,0.164
2017,Jordan,Middle East and Northern Africa,74,5.336,0.991,1.239,0.605,0.418,0.172,0.12
2017,Kazakhstan,Central and Eastern Europe,60,5.819,1.285,1.384,0.606,0.437,0.202,0.119
2017,Kenya,Sub-Saharan Africa,112,4.553,0.56,1.068,0.31,0.453,0.445,0.065
2017,Kosovo,Central and Eastern Europe,78,5.279,0.951,1.138,0.541,0.26,0.32,0.057
2017,Kuwait,Middle East and Northern Africa,39,6.105,1.633,1.26,0.632,0.496,0.228,0.215
2017,Kyrgyzstan,Central and Eastern Europe,98,5.004,0.596,1.394,0.553,0.455,0.429,0.039
2017,Latvia,Central and Eastern Europe,54,5.85,1.261,1.405,0.639,0.326,0.153,0.074
2017,Lebanon,Middle East and Northern Africa,88,5.225,1.075,1.13,0.735,0.289,0.264,0.038
2017,Lesotho,Sub-Saharan Africa,139,3.808,0.521,1.19,0,0.391,0.157,0.119
2017,Liberia,Sub-Saharan Africa,148,3.533,0.119,0.872,0.23,0.333,0.267,0.039
2017,Libya,Middle East and Northern Africa,68,5.525,1.102,1.358,0.52,0.466,0.152,0.093
2017,Lithuania,Central and Eastern Europe,52,5.902,1.315,1.474,0.629,0.234,0.01,0.012
2017,Luxembourg,Western Europe,18,6.863,1.742,1.458,0.845,0.597,0.283,0.319
2017,North Macedonia,Central and Eastern Europe,92,5.175,1.065,1.208,0.645,0.326,0.254,0.06
2017,Madagascar,Sub-Saharan Africa,144,3.644,0.306,0.913,0.375,0.189,0.209,0.067
2017,Malawi,Sub-Saharan Africa,136,3.97,0.233,0.513,0.315,0.467,0.287,0.073
2017,Malaysia,Southeastern Asia,42,6.084,1.291,1.285,0.619,0.402,0.417,0.066
2017,Mali,Sub-Saharan Africa,127,4.19,0.476,1.281,0.169,0.307,0.183,0.105
2017,Malta,Western Europe,27,6.527,1.343,1.488,0.822,0.589,0.575,0.153
2017,Mauritania,Sub-Saharan Africa,123,4.292,0.648,1.272,0.285,0.096,0.202,0.137
2017,Mauritius,Sub-Saharan Africa,64,5.629,1.189,1.21,0.638,0.491,0.361,0.042
2017,Mexico,Latin America and Caribbean,25,6.578,1.153,1.211,0.71,0.413,0.121,0.133
2017,Moldova,Central and Eastern Europe,56,5.838,0.729,1.252,0.589,0.241,0.209,0.01
2017,Mongolia,Eastern Asia,100,4.955,1.027,1.493,0.558,0.394,0.338,0.033
2017,Montenegro,Central and Eastern Europe,83,5.237,1.121,1.238,0.667,0.195,0.198,0.088
2017,Morocco,Middle East and Northern Africa,84,5.235,0.878,0.775,0.598,0.408,0.032,0.088
2017,Mozambique,Sub-Saharan Africa,113,4.55,0.234,0.871,0.107,0.481,0.322,0.179
2017,Myanmar,Southeastern Asia,114,4.545,0.367,1.123,0.398,0.514,0.838,0.189
2017,Namibia,Sub-Saharan Africa,111,4.574,0.964,1.098,0.339,0.52,0.077,0.093
2017,Nepal,Southern Asia,99,4.962,0.48,1.179,0.504,0.44,0.394,0.073
2017,Netherlands,Western Europe,6,7.377,1.504,1.429,0.811,0.585,0.47,0.283
2017,New Zealand,Australia and New Zealand,8,7.314,1.406,1.548,0.817,0.614,0.5,0.383
2017,Nicaragua,Latin America and Caribbean,43,6.071,0.737,1.287,0.653,0.448,0.302,0.131
2017,Niger,Sub-Saharan Africa,135,4.028,0.162,0.993,0.269,0.364,0.229,0.139
2017,Nigeria,Sub-Saharan Africa,95,5.074,0.784,1.216,0.057,0.395,0.231,0.026
2017,North Cyprus,Western Europe,61,5.81,1.347,1.186,0.835,0.471,0.267,0.155
2017,Norway,Western Europe,1,7.537,1.616,1.534,0.797,0.635,0.362,0.316
2017,Pakistan,Southern Asia,80,5.269,0.727,0.673,0.402,0.235,0.315,0.124
2017,Palestinian Territories,Middle East and Northern Africa,103,4.775,0.716,1.156,0.566,0.255,0.114,0.089
2017,Panama,Latin America and Caribbean,30,6.452,1.234,1.373,0.706,0.55,0.211,0.071
2017,Paraguay,Latin America and Caribbean,70,5.493,0.933,1.507,0.579,0.474,0.224,0.091
2017,Peru,Latin America and Caribbean,63,5.715,1.035,1.219,0.63,0.45,0.127,0.047
2017,Philippines,Southeastern Asia,72,5.43,0.858,1.254,0.468,0.585,0.194,0.099
2017,Poland,Central and Eastern Europe,46,5.973,1.292,1.446,0.699,0.52,0.158,0.059
2017,Portugal,Western Europe,89,5.195,1.315,1.367,0.796,0.498,0.095,0.016
2017,Qatar,Middle East and Northern Africa,35,6.375,1.871,1.274,0.71,0.604,0.33,0.439
2017,Romania,Central and Eastern Europe,57,5.825,1.218,1.15,0.685,0.457,0.134,0.004
2017,Russia,Central and Eastern Europe,49,5.963,1.282,1.469,0.547,0.374,0.052,0.033
2017,Rwanda,Sub-Saharan Africa,151,3.471,0.369,0.946,0.326,0.582,0.253,0.455
2017,Saudi Arabia,Middle East and Northern Africa,37,6.344,1.531,1.287,0.59,0.45,0.148,0.273
2017,Senegal,Sub-Saharan Africa,115,4.535,0.479,1.18,0.409,0.378,0.183,0.115
2017,Serbia,Central and Eastern Europe,73,5.395,1.069,1.258,0.651,0.209,0.22,0.041
2017,Sierra Leone,Sub-Saharan Africa,106,4.709,0.368,0.984,0.006,0.319,0.293,0.071
2017,Singapore,Southeastern Asia,26,6.572,1.692,1.354,0.949,0.55,0.346,0.464
2017,Slovakia,Central and Eastern Europe,40,6.098,1.325,1.505,0.713,0.296,0.137,0.024
2017,Slovenia,Central and Eastern Europe,62,5.758,1.341,1.453,0.791,0.573,0.243,0.045
2017,Somalia,Sub-Saharan Africa,93,5.151,0.023,0.721,0.114,0.602,0.292,0.282
2017,South Africa,Sub-Saharan Africa,101,4.829,1.055,1.385,0.187,0.479,0.139,0.073
2017,South Korea,Eastern Asia,55,5.838,1.402,1.128,0.9,0.258,0.207,0.063
2017,South Sudan,Sub-Saharan Africa,147,3.591,0.397,0.601,0.163,0.147,0.286,0.117
2017,Spain,Western Europe,34,6.403,1.384,1.532,0.889,0.409,0.19,0.071
2017,Sri Lanka,Southern Asia,120,4.44,1.01,1.26,0.625,0.561,0.491,0.074
2017,Sudan,Sub-Saharan Africa,130,4.139,0.66,1.214,0.291,0.015,0.182,0.09
2017,Sweden,Western Europe,9,7.284,1.494,1.478,0.831,0.613,0.385,0.384
2017,Switzerland,Western Europe,4,7.494,1.565,1.517,0.858,0.62,0.291,0.367
2017,Syria,Middle East and Northern Africa,152,3.462,0.777,0.396,0.501,0.082,0.494,0.151
2017,Taiwan,Eastern Asia,33,6.422,1.434,1.385,0.794,0.361,0.258,0.064
2017,Tajikistan,Central and Eastern Europe,96,5.041,0.525,1.271,0.529,0.472,0.249,0.146
2017,Tanzania,Sub-Saharan Africa,153,3.349,0.511,1.042,0.365,0.39,0.354,0.066
2017,Thailand,Southeastern Asia,32,6.424,1.128,1.426,0.647,0.58,0.572,0.032
2017,Togo,Sub-Saharan Africa,150,3.495,0.305,0.432,0.247,0.38,0.197,0.096
2017,Trinidad and Tobago,Latin America and Caribbean,38,6.168,1.361,1.38,0.52,0.519,0.325,0.009
2017,Tunisia,Middle East and Northern Africa,102,4.805,1.007,0.868,0.613,0.29,0.05,0.087
2017,Turkey,Middle East and Northern Africa,69,5.5,1.198,1.338,0.638,0.301,0.047,0.1
2017,Turkmenistan,Central and Eastern Europe,59,5.822,1.131,1.493,0.438,0.418,0.25,0.259
2017,Uganda,Sub-Saharan Africa,133,4.081,0.381,1.13,0.218,0.443,0.326,0.057
2017,Ukraine,Central and Eastern Europe,132,4.096,0.895,1.395,0.576,0.123,0.27,0.023
2017,United Arab Emirates,Middle East and Northern Africa,21,6.648,1.626,1.266,0.727,0.608,0.361,0.324
2017,United Kingdom,Western Europe,19,6.714,1.442,1.496,0.805,0.508,0.493,0.265
2017,United States,North America,14,6.993,1.546,1.42,0.774,0.506,0.393,0.136
2017,Uruguay,Latin America and Caribbean,28,6.454,1.218,1.412,0.719,0.579,0.175,0.178
2017,Uzbekistan,Central and Eastern Europe,47,5.971,0.786,1.549,0.498,0.658,0.416,0.247
2017,Venezuela,Latin America and Caribbean,82,5.25,1.128,1.431,0.617,0.154,0.065,0.064
2017,Vietnam,Southeastern Asia,94,5.074,0.789,1.277,0.652,0.571,0.235,0.088
2017,Yemen,Middle East and Northern Africa,146,3.593,0.592,0.935,0.31,0.249,0.104,0.057
2017,Zambia,Sub-Saharan Africa,116,4.514,0.636,1.003,0.258,0.462,0.25,0.078
2017,Zimbabwe,Sub-Saharan Africa,138,3.875,0.376,1.083,0.197,0.336,0.189,0.095
2018,Afghanistan,Southern Asia,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036
2018,Albania,Central and Eastern Europe,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032
2018,Algeria,Middle East and Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135
2018,Angola,Sub-Saharan Africa,142,3.795,0.73,1.125,0.269,0,0.079,0.061
2018,Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054
2018,Armenia,Central and Eastern Europe,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028
2018,Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302
2018,Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224
2018,Azerbaijan,Central and Eastern Europe,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176
2018,Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123
2018,Bangladesh,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144
2018,Belarus,Central and Eastern Europe,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154
2018,Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24
2018,Belize,Latin America and Caribbean,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089
2018,Benin,Sub-Saharan Africa,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067
2018,Bhutan,Southern Asia,97,5.082,0.796,1.335,0.527,0.541,0.364,0.171
2018,Bolivia,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054
2018,Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,0.915,1.078,0.758,0.28,0.216,0
2018,Botswana,Sub-Saharan Africa,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092
2018,Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088
2018,Bulgaria,Central and Eastern Europe,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009
2018,Burkina Faso,Sub-Saharan Africa,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128
2018,Burundi,Sub-Saharan Africa,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076
2018,Cambodia,Southeastern Asia,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065
2018,Cameroon,Sub-Saharan Africa,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043
2018,Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291
2018,Central African Republic,Sub-Saharan Africa,155,3.083,0.024,0,0.01,0.305,0.218,0.038
2018,Chad,Sub-Saharan Africa,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06
2018,Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061
2018,China,Eastern Asia,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103
2018,Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039
2018,Congo (Brazzaville),Sub-Saharan Africa,114,4.559,0.682,0.811,0.343,0.514,0.091,0.077
2018,Congo (Kinshasa),Sub-Saharan Africa,132,4.245,0.069,1.136,0.204,0.312,0.197,0.052
2018,Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101
2018,Croatia,Central and Eastern Europe,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039
2018,Cyprus,Western Europe,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035
2018,Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034
2018,Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408
2018,Dominican Republic,Latin America and Caribbean,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106
2018,Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12
2018,Egypt,Middle East and Northern Africa,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107
2018,El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082
2018,Estonia,Central and Eastern Europe,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174
2018,Ethiopia,Sub-Saharan Africa,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146
2018,Finland,Western Europe,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393
2018,France,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176
2018,Gabon,Sub-Saharan Africa,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052
2018,Georgia,Central and Eastern Europe,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215
2018,Germany,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28
2018,Ghana,Sub-Saharan Africa,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029
